Movement in iteration: 4018, new cost: 8973055
Movement in iteration: 4030, new cost: 8972629
Movement in iteration: 4031, new cost: 8971985
Movement in iteration: 4060, new cost: 8971155
Movement in iteration: 4074, new cost: 8970385
Movement in iteration: 4179, new cost: 8969971
Movement in iteration: 4208, new cost: 8969681
Movement in iteration: 4357, new cost: 8968204
Movement in iteration: 4434, new cost: 8962752
Movement in iteration: 4463, new cost: 8962326
Movement in iteration: 4506, new cost: 8961628
Movement in iteration: 4547, new cost: 8960986
Movement in iteration: 4551, new cost: 8956256
Movement in iteration: 4567, new cost: 8951120
Movement in iteration: 4581, new cost: 8942824
Movement in iteration: 4779, new cost: 8940118
Movement in iteration: 4789, new cost: 8939987
Movement in iteration: 4802, new cost: 8939569
Movement in iteration: 4803, new cost: 8939302
Movement in iteration: 4805, new cost: 8937814
Movement in iteration: 4818, new cost: 8936896
Movement in iteration: 4833, new cost: 8935011
Movement in iteration: 4834, new cost: 8934935
Movement in iteration: 4863, new cost: 8934793
Movement in iteration: 4923, new cost: 8934455
Movement in iteration: 4925, new cost: 8932929
Movement in iteration: 4936, new cost: 8931778
Movement in iteration: 4952, new cost: 8930744
Movement in iteration: 4963, new cost: 8930553
Movement in iteration: 4965, new cost: 8928364
Movement in iteration: 4980, new cost: 8928306
Movement in iteration: 4981, new cost: 8927005
Movement in iteration: 5073, new cost: 8926101
Movement in iteration: 5083, new cost: 8925189
Movement in iteration: 5246, new cost: 8923301
Movement in iteration: 5394, new cost: 8922197
Movement in iteration: 5395, new cost: 8921860
Movement in iteration: 5398, new cost: 8920592
Movement in iteration: 5407, new cost: 8918688
Movement in iteration: 5411, new cost: 8918085
Movement in iteration: 5413, new cost: 8917676
Movement in iteration: 5493, new cost: 8917525
Movement in iteration: 5516, new cost: 8916879
Movement in iteration: 5519, new cost: 8910403
Movement in iteration: 5558, new cost: 8908067
Movement in iteration: 5571, new cost: 8906421
Movement in iteration: 5587, new cost: 8906371
Movement in iteration: 5601, new cost: 8905633
Movement in iteration: 5603, new cost: 8903609
Movement in iteration: 5632, new cost: 8901265
Movement in iteration: 5675, new cost: 8899099
Movement in iteration: 5677, new cost: 8898978
Movement in iteration: 5678, new cost: 8898590
Movement in iteration: 5692, new cost: 8896688
Movement in iteration: 5707, new cost: 8894693
Movement in iteration: 5813, new cost: 8891295
Movement in iteration: 5825, new cost: 8891090
Movement in iteration: 5840, new cost: 8890598
Movement in iteration: 5842, new cost: 8889428
Movement in iteration: 6107, new cost: 8887806
Movement in iteration: 6134, new cost: 8886970
Movement in iteration: 6135, new cost: 8885946
Movement in iteration: 6151, new cost: 8882132
Movement in iteration: 6253, new cost: 8882016
Movement in iteration: 6327, new cost: 8880240
Movement in iteration: 6355, new cost: 8878491
Movement in iteration: 6473, new cost: 8877459
Movement in iteration: 6721, new cost: 8876281
Movement in iteration: 6722, new cost: 8876015
Movement in iteration: 6828, new cost: 8875466
Movement in iteration: 6973, new cost: 8874936
Movement in iteration: 6987, new cost: 8874478
Movement in iteration: 6999, new cost: 8874465
Movement in iteration: 7013, new cost: 8873548
Movement in iteration: 7025, new cost: 8866853
Movement in iteration: 7028, new cost: 8866193
Movement in iteration: 7058, new cost: 8865443
Movement in iteration: 7160, new cost: 8864647
Movement in iteration: 7304, new cost: 8863183
Movement in iteration: 7307, new cost: 8861737
Movement in iteration: 7318, new cost: 8858959
Movement in iteration: 7437, new cost: 8857503
Movement in iteration: 7482, new cost: 8857277
Movement in iteration: 7598, new cost: 8855995
Movement in iteration: 7601, new cost: 8855723
Movement in iteration: 7613, new cost: 8854847
Movement in iteration: 7625, new cost: 8854351
Movement in iteration: 7626, new cost: 8848245
Movement in iteration: 7627, new cost: 8846812
Movement in iteration: 7746, new cost: 8841976
Movement in iteration: 7875, new cost: 8840993
Movement in iteration: 7890, new cost: 8840323
Movement in iteration: 7892, new cost: 8839889
Movement in iteration: 7908, new cost: 8839865
Movement in iteration: 8021, new cost: 8838943
Movement in iteration: 8035, new cost: 8838930
Movement in iteration: 8036, new cost: 8837408
Movement in iteration: 8050, new cost: 8836650
