Movement in iteration: 5855, new cost: 8957363
Movement in iteration: 5873, new cost: 8957205
Movement in iteration: 5886, new cost: 8954099
Movement in iteration: 5977, new cost: 8953623
Movement in iteration: 6125, new cost: 8953114
Movement in iteration: 6140, new cost: 8952218
Movement in iteration: 6154, new cost: 8951322
Movement in iteration: 6155, new cost: 8949455
Movement in iteration: 6169, new cost: 8949106
Movement in iteration: 6466, new cost: 8948262
Movement in iteration: 6480, new cost: 8948093
Movement in iteration: 6584, new cost: 8947423
Movement in iteration: 6585, new cost: 8945317
Movement in iteration: 6599, new cost: 8940351
Movement in iteration: 6704, new cost: 8940280
Movement in iteration: 6748, new cost: 8939678
Movement in iteration: 6809, new cost: 8938368
Movement in iteration: 6880, new cost: 8937430
Movement in iteration: 6894, new cost: 8937087
Movement in iteration: 7000, new cost: 8936606
Movement in iteration: 7173, new cost: 8935384
Movement in iteration: 7175, new cost: 8933830
Movement in iteration: 7176, new cost: 8933324
Movement in iteration: 7192, new cost: 8931076
Movement in iteration: 7193, new cost: 8931002
Movement in iteration: 7198, new cost: 8927743
Movement in iteration: 7203, new cost: 8925235
Movement in iteration: 7207, new cost: 8924093
Movement in iteration: 7221, new cost: 8922999
Movement in iteration: 7226, new cost: 8922841
Movement in iteration: 7234, new cost: 8915507
Movement in iteration: 7239, new cost: 8914179
Movement in iteration: 7244, new cost: 8914135
Movement in iteration: 7251, new cost: 8908729
Movement in iteration: 7256, new cost: 8908205
Movement in iteration: 7281, new cost: 8907209
Movement in iteration: 7412, new cost: 8904903
Movement in iteration: 7429, new cost: 8903597
Movement in iteration: 7472, new cost: 8902477
Movement in iteration: 7477, new cost: 8899895
Movement in iteration: 7500, new cost: 8899719
Movement in iteration: 7502, new cost: 8898433
Movement in iteration: 7504, new cost: 8896101
Movement in iteration: 7620, new cost: 8894105
Movement in iteration: 7697, new cost: 8889205
Movement in iteration: 7727, new cost: 8888685
Movement in iteration: 7728, new cost: 8886769
Movement in iteration: 7760, new cost: 8884904
Movement in iteration: 7767, new cost: 8883950
Movement in iteration: 7768, new cost: 8883760
Movement in iteration: 7769, new cost: 8882244
Movement in iteration: 7781, new cost: 8877950
Movement in iteration: 7800, new cost: 8876131
Movement in iteration: 7830, new cost: 8876050
Movement in iteration: 7831, new cost: 8875408
Movement in iteration: 7873, new cost: 8874292
Movement in iteration: 7875, new cost: 8870990
